Sp
Hylopezus_paraensis
Gyalophylax_hellmayri
Myrmorchilus_strigilatus
Furnarius_rufus
Melanopareia_bitorquata
Euchrepomis_spodioptila
Aphrastura_spinicauda
Sylviorthorhynchus_desmursii
Roraimia_adusta
Hypocnemoides_maculicauda
Philydor_atricapillus
Phacellodomus_rufifrons
Phacellodomus_rufifrons_2
Willisornis_poecilinotus
Sittasomus_griseicapillus
Myrmoderus_loricatus
Conopophaga_melanops
Dendrocincla_turdina
Campylorhamphus_falcularius
Chamaeza_ruficauda
Furnarius_rufus_2
Hypoedaleus_guttatus
Xenops_minutus
Automolus_leucophthalmus
Philydor_atricapillus_2
Dysithamnus_mentalis
Thamnophilus_caerulescens
Chamaeza_ruficauda_2
Campylorhamphus_falcularius_2
Sclerurus_scansor
Sittasomus_griseicapillus_2
Lochmias_nematura
Lochmias_nematura_2
Hypoedaleus_guttatus_2
Mackenziaena_severa
Anabazenops_fuscus
Xiphocolaptes_albicollis
Xiphocolaptes_albicollis_2
Sclerurus_scansor_2
Xenops_minutus_2
Glyphorynchus_spirurus
Hylexetastes_perrotii
Deconychura_longicauda
Glyphorynchus_spirurus_2
Phlegopsis_nigromaculata
Willisornis_poecilinotus_2
Dysithamnus_mentalis_2
Formicarius_colma
Merulaxis_ater
Drymophila_squamata
Drymophila_squamata_2
Drymophila_squamata_3
Myrmotherula_axillaris
Sakesphorus_cristatus
Myrmornis_torquata
