ID;Family;Sp;sp2;Locomotion;Perching performance;Climbing index;BodyMass-Value;LogBodyMass;Diet;Foraging;Migration;ForStrat-ground;ForStrat-understory;ForStrat-midhigh;ForStrat-canopy;Tmt shape
RBO990;Furnariidae;Xenops minutus;X. minutus;climb;High;10,5;10,6;2,360854001;Invertebrates;BarkGleaning;Sedentary;0;50;50;0;Triangle
RO03;Dendrocolaptidae;Glyphorynchus spirurus;G. spirurus;climb;High;89,9;14,6;2,681021529;Invertebrates;BarkGleaning;Sedentary;0;0;40;60;Triangle 
RO13;Dendrocolaptidae;Hylexetastes perrotii;H. perrotii;climb;High;86,7;103,07;4,635408369;Invertebrates;BarkGleaning;Sedentary;0;50;50;0;Triangle
RO016;Dendrocolaptidae;Deconychura longicauda;D. longicauda;climb;High;89,9;23,8;3,169685581;Invertebrates;BarkGleaning;Sedentary;0;0;80;20;Triangle
RO28;Dendrocolaptidae;Glyphorynchus spirurus;G. spirurus;climb;High;89,9;14,6;2,681021529;Invertebrates;BarkGleaning;Sedentary;0;0;40;60;Triangle
RO31;Thamnophilidae;Phlegopsis nigromaculata;P. nigromaculata;hop;Medium ;NA;45,24;3,811981651;Invertebrates;AerialSallying;PartiallyMigratory;60;40;0;0;Square
RO42;Thamnophilidae;Willisornis poecilinotus;W. poecilinotus;hop;Medium ;NA;18,4;2,912350665;Invertebrates;AerialSallying;Sedentary;60;40;0;0;Square
UFRJ744;Thamnophilidae;Dysithamnus mentalis;D. mentalis;hop;Medium ;NA;14,87;2,69934576;Invertebrates;ArborealGleaning;Sedentary;0;40;40;20;Square
UFR920;Formicariidae;Formicarius colma;F. colma;walk;Low;11,7;47;3,850147602;Invertebrates;GroundForaging;Sedentary;80;20;0;0;Square like
UFRJ0862;Rhinocryptidae;Merulaxis ater;M. ater;walk;Low;NA;35,03;3,556204837;Invertebrates;GroundForaging;Sedentary;100;0;0;0;Square
UFRJ475;Thamnophilidae;Drymophila squamata;D. squamata;hop;Medium ;NA;10,8;2,379546134;Invertebrates;ArborealGleaning;Sedentary;40;40;20;0;Square
UFRJ480;Thamnophilidae;Drymophila squamata;D. squamata;hop;Medium ;NA;10,8;2,379546134;Invertebrates;ArborealGleaning;Sedentary;40;40;20;0;Square
UFRJ481;Thamnophilidae;Drymophila squamata;D.squamata;hop;Medium ;NA;10,8;2,379546134;Invertebrates;ArborealGleaning;Sedentary;40;40;20;0;Square
UFRJ932;Thamnophilidae;Myrmotherula axillaris;M. axillaris;hop;Medium ;NA;8,09;2,090628731;Invertebrates;ArborealGleaning;Sedentary;0;20;80;0;Square
UFRJ938;Thamnophilidae;Sakesphorus cristatus;S. cristatus;hop;Low;NA;17,7;2,87356464;Invertebrates;ArborealGleaning;Sedentary;30;50;20;0;Square
YPM106157;Thamnophilidae;Myrmornis torquata;M. torquata;hop;Low;NA;46,7;3,843744165;Invertebrates;GroundForaging;Sedentary;100;0;0;0;Square
